order	patch_no	decision	category	sha256	filename	reason
1	7	skip	build/packaging	9d974b64d7a5bbefc200b84bbca1f86986c97904932e53c6cd5ce499f55c5526	php-5.3.0-recode.centos.patch	build/packaging glue, not a source security/bug backport
2	42	skip	build/packaging	dfaaed60488a6fbff9952da2874ca51fd86bb142919eea2b63688b0e1d5f6cbb	php-5.6.13-systzdata-v12b.patch.centos.patch	build/packaging glue, not a source security/bug backport
3	43	skip	build/packaging	2e3e62142dcd552d864bbb81ea4a1e2f45b68b3eafadd1d6b06b12446840de65	php-5.4.0-phpize.centos.patch	build/packaging glue, not a source security/bug backport
4	100	skip	build/packaging	bce41da2b27a7f6abf48e15e49b54379a2e47f2586a8a4ef7a7f3f4815e15ede	php-5.6.x-mail-header.cpanel.patch	build/packaging glue, not a source security/bug backport
5	101	skip	build/packaging	d994a8a311db8abd64fb40740b5f30397bde4c1a5813af8f3a8c3b085a90c010	php-5.x-disable-zts.patch	build/packaging glue, not a source security/bug backport
6	102	skip	build/packaging	8dfbe5f75fd44fe62b15a3bc3c7fa7dee20843507b503b71072383eb9297c7a3	php-5.6.x-ea4-ini.patch	build/packaging glue, not a source security/bug backport
7	201	skip	build/packaging	187c0035c51a320c93171aa14284efaa9ec22023ff0b09824a14451f6d479873	php-5.6-intl-use-icu-namespace.patch	build/packaging glue, not a source security/bug backport
8	202	skip	build/packaging	553a9198c3519e99d052c715b40fee7c0c302bdbdb7d1e8e5a73f2533ca8291f	php-5.6.40-snmp-disable-des.patch	build/packaging glue, not a source security/bug backport
9	203	skip	build/packaging	a5e54d710587e14f751eb90d7b1d061e20228a3980162bba1f92034c649ac33f	php-5.6.40-fix-for-openssl-3.0.x.patch	build/packaging glue, not a source security/bug backport
10	204	skip	build/packaging	b48a7e6e95cbd4e69097b5117c864680171dece08ed7ee1d6b3f25215351513a	php-8.2-fix-for-libxml2.13.patch	build/packaging glue, not a source security/bug backport
11	210	skip	vendor/sapi	9bda529c370864f63e813aeba752f107058ea41c9ee1b7e5a7a87537f96e3644	litespeed-8.0.1-process_lsapi_phpini.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
12	211	skip	vendor/sapi	1f01c3b0f1e0c4e6c5eca3c62878abf153dca43a2a869015c265754479633f7d	litespeed-8.0.1-userini_homedir.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
13	212	skip	vendor/sapi	d8604c92c40acdb680f717cfaa9135b882ffc00088651e6538490a3aa1f7c4a3	litespeed-8.0.1-log.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
14	213	skip	vendor/sapi	2f4aa28896f2ff99c6de6436fa215e51f2e221e087a5a07561fca1c40c1ba881	litespeed-8.0.1.use_reject.patch	CloudLinux/LiteSpeed/EA4 runtime- or SAPI-specific
